case_id,farm_id,turbine_id,label,start_timestamp,end_timestamp,n_records,sampling_interval_check,source_file
0,Wind Farm A,0,anomaly,2022-08-04 06:10:00,2023-08-24 06:10:00,54986,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\0.csv
10,Wind Farm A,10,anomaly,2022-10-09 08:40:00,2023-10-18 08:40:00,53592,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\10.csv
13,Wind Farm A,21,normal,2022-04-30 13:20:00,2023-05-25 10:20:00,54010,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\13.csv
14,Wind Farm A,13,normal,2022-03-03 14:00:00,2023-03-16 18:40:00,54197,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\14.csv
17,Wind Farm A,10,normal,2022-10-31 15:20:00,2023-11-20 00:40:00,55090,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\17.csv
22,Wind Farm A,21,anomaly,2022-08-12 09:50:00,2023-08-20 09:50:00,53036,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\22.csv
24,Wind Farm A,0,normal,2022-04-24 15:00:00,2023-05-13 11:20:00,55003,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\24.csv
25,Wind Farm A,11,normal,2022-05-23 06:50:00,2023-06-09 02:30:00,54712,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\25.csv
26,Wind Farm A,0,anomaly,2022-10-12 10:20:00,2023-10-22 10:20:00,53702,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\26.csv
3,Wind Farm A,10,normal,2022-04-27 03:00:00,2023-05-20 01:10:00,55487,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\3.csv
38,Wind Farm A,13,normal,2022-06-28 15:40:00,2023-07-17 07:40:00,54835,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\38.csv
40,Wind Farm A,10,anomaly,2022-01-01 00:00:00,2023-01-28 13:00:00,56158,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\40.csv
42,Wind Farm A,10,anomaly,2022-09-09 15:50:00,2023-09-20 15:50:00,53886,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\42.csv
45,Wind Farm A,13,anomaly,2022-04-16 18:10:00,2023-04-26 18:10:00,53739,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\45.csv
51,Wind Farm A,21,anomaly,2022-10-04 01:30:00,2023-10-20 16:10:00,54436,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\51.csv
68,Wind Farm A,11,anomaly,2022-07-28 13:20:00,2023-08-13 13:20:00,54358,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\68.csv
69,Wind Farm A,11,normal,2022-09-03 00:50:00,2023-09-21 00:50:00,54813,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\69.csv
71,Wind Farm A,0,normal,2022-01-01 00:00:00,2023-01-18 00:00:00,54744,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\71.csv
72,Wind Farm A,21,anomaly,2022-10-07 08:40:00,2023-10-21 08:40:00,54082,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\72.csv
73,Wind Farm A,0,anomaly,2022-06-07 11:40:00,2023-06-19 11:40:00,54042,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\73.csv
84,Wind Farm A,13,anomaly,2022-09-03 15:30:00,2023-09-13 15:30:00,53772,unchecked_format_unknown,D:\Dropbox\Project_Academic\Paper&Patent\01.國際期刊(發表年月)\Submitted\12.Physics-Informed(Gemini)\Experiments\agentskill_care_v6\CARE_To_Compare\Wind Farm A\datasets\84.csv
