case_id,bin1_lt_4,bin2_4_8,bin3_8_12,bin4_ge_12,n_excluded_cells_lt_500
0,17739,20099,11031,6117,0
10,18397,19956,11779,3460,0
13,18582,19628,9986,5814,0
14,18524,21898,11066,2709,0
17,19041,20537,12263,3249,0
22,19037,18743,9681,5575,0
24,17410,20747,10851,5995,0
25,18753,19960,10230,5769,0
26,17141,20760,10858,4943,0
3,18659,20048,12305,4475,0
38,16936,21328,12788,3783,0
40,21013,20723,11090,3332,0
42,19231,19890,11293,3472,0
45,16973,21255,12013,3498,0
51,18956,20224,10353,4903,0
68,19126,19600,10124,5508,0
69,19573,20679,9974,4587,0
71,19229,21049,9916,4550,0
72,18933,20082,10179,4888,0
73,17036,19489,10985,6532,0
84,17379,21889,11741,2763,0
92,19333,20020,9792,4922,0
19,7875,17302,16878,14219,0
2,8961,17913,15768,12132,0
21,8776,16476,14817,13445,0
23,8147,17031,16078,13286,0
27,9428,20001,18374,14465,0
34,8517,17606,17185,13256,0
52,8127,17031,16930,13180,0
53,7725,17817,17025,16040,0
7,9745,18977,16514,12652,0
74,7246,16634,17150,14572,0
77,8509,20054,18773,14440,0
82,8296,17284,15806,13606,0
83,11167,21322,17697,15968,0
86,8092,17515,16203,13676,0
87,8613,17519,16127,13097,0
1,10291,24175,11012,8091,0
11,10159,24559,12739,8980,0
12,8136,24414,14429,9128,0
15,10481,22533,11617,9802,0
16,9892,23983,10514,9179,0
18,9182,22648,12666,8352,0
20,11067,23957,11124,7853,0
28,7984,24567,14298,9069,0
29,10520,24175,11616,8554,0
30,10104,24169,12306,9532,0
31,9441,23806,11791,9551,0
32,9332,25116,12362,8199,0
33,9796,25107,12469,8501,0
35,10380,23671,10629,7935,0
36,8383,23982,13750,9045,0
37,10442,24335,11123,7813,0
39,8565,23218,13434,8510,0
4,8472,24628,14096,9253,0
41,10556,22750,11968,10392,0
43,8582,24125,13466,8980,0
44,10767,28846,14053,9337,0
46,7590,25110,14092,8341,0
47,8031,22335,13945,9682,0
48,10016,24659,12250,8372,0
49,10342,22031,11904,8737,0
5,10119,23071,10752,8853,0
50,10680,23103,12574,8796,0
54,6536,24299,15068,9682,0
55,7386,21721,16543,10103,0
56,9426,22528,13251,8211,0
57,10158,25491,11733,7627,0
58,6362,25615,14550,7906,0
59,11119,24534,10879,8333,0
6,8006,23148,14409,9302,0
60,11559,22387,11812,8675,0
61,8475,25629,12918,8563,0
62,8255,22068,14018,9107,0
63,9483,25198,12094,8090,0
64,9624,24371,12478,7960,0
65,10394,24448,12427,8649,0
66,9896,22147,11815,9645,0
67,10651,26405,13261,11172,0
70,9425,24531,13535,8547,0
75,8369,26148,13137,8507,0
76,9758,23416,10173,8739,0
78,7559,22774,13665,9148,0
79,8394,23193,13216,8478,0
8,7222,22445,15539,9596,0
80,9384,24986,12511,8032,0
81,7890,22326,13995,9721,0
85,9001,19828,13831,9757,0
88,8855,25046,13107,8433,0
89,10848,24917,10907,7905,0
9,8829,25469,13137,8594,0
90,9518,25022,12237,8103,0
91,9573,25429,12914,8692,0
93,9667,25311,12323,8572,0
94,8704,24362,13495,8304,0
