timestamp,wind_speed,anomaly_score,signal_active_power,signal_wind_speed,signal_rotor_speed,signal_main_bearing_temperature,signal_pitch_angle,signal_ambient_temperature
2022-09-22 20:10:00,12.13,2.244987384,0.7276322581,12.13,10.11,45.37,8.44,17.94
2022-09-22 20:20:00,11.84,2.246552958,0.7235919355,11.84,10.11,45.5,8.66,17.91
2022-09-22 20:30:00,11.93,2.265976422,0.7447322581,11.93,10.11,45.645,8.44,17.91
2022-09-22 20:40:00,12.07,2.250360604,0.7507016129,12.07,10.11,45.775,7.93,17.92
2022-09-22 20:50:00,12.81,1.960571625,0.5405209677,12.81,9.74,45.925,10.58,17.89
2022-09-22 21:00:00,12.84,2.026876405,0.4812096774,12.84,9.61,46.055,12.03,17.91
2022-09-22 21:10:00,11.75,2.003759827,0.4812193548,11.75,9.62,46.16,10.76,18.03
2022-09-22 21:20:00,13.14,2.039263777,0.4811209677,13.14,9.61,46.26,12.39,17.91
2022-09-22 21:30:00,12.22,2.011720339,0.4812903226,12.22,9.61,46.35,11.83,17.99
2022-09-22 21:40:00,12.9,1.986667216,0.4811693548,12.9,9.61,46.445,11.55,17.9
2022-09-22 21:50:00,11.46,1.981085228,0.4812209677,11.46,9.62,46.54,10.35,18.05
2022-09-22 22:00:00,12.35,1.992399414,0.4815822581,12.35,9.62,46.635,11.86,17.94
2022-09-22 22:10:00,12.43,1.966717822,0.4813516129,12.43,9.62,46.735,11,18.06
2022-09-22 22:20:00,11.66,1.995470157,0.481316129,11.66,9.62,46.825,11.12,18.08
2022-09-22 22:30:00,11.67,1.988272765,0.4813467742,11.67,9.62,46.91,11.19,18.04
2022-09-22 22:40:00,11.86,1.950446526,0.4813903226,11.86,9.62,46.985,10.79,18.03
2022-09-22 22:50:00,11.71,1.933242903,0.4805177419,11.71,9.61,47.08,10.83,17.91
2022-09-22 23:00:00,11.63,1.907340642,0.4814306452,11.63,9.62,47.175,10.13,17.95
2022-09-22 23:10:00,11.49,1.909481728,0.4810951613,11.49,9.61,47.275,10.24,17.94
2022-09-22 23:20:00,12.15,1.938135966,0.4815774194,12.15,9.62,47.37,11.5,17.91
2022-09-22 23:30:00,12.17,1.926785054,0.4692693548,12.17,9.54,47.45,11.59,18
2022-09-22 23:40:00,12.14,1.918248353,0.4637080645,12.14,9.5,47.545,11.87,17.96
2022-09-22 23:50:00,12.15,1.910538735,0.4640225806,12.15,9.51,47.625,11.57,17.99
2022-09-23 00:00:00,12.17,1.902161073,0.4637419355,12.17,9.5,47.7,11.58,17.99
2022-09-23 00:10:00,11.7,1.886989053,0.4613258065,11.7,9.49,47.785,10.86,18.08
2022-09-23 00:20:00,11.7,1.890535395,0.4640435484,11.7,9.51,47.855,10.95,18.04
2022-09-23 00:30:00,11.91,1.888664397,0.4640741935,11.91,9.5,47.93,11.28,18.03
2022-09-23 00:40:00,12.39,1.906255214,0.4501758065,12.39,9.41,48.005,12.24,18.02
2022-09-23 00:50:00,12.49,1.922704935,0.4476951613,12.49,9.39,48.085,12.67,18.04
2022-09-23 01:00:00,12.59,1.925003573,0.447933871,12.59,9.4,48.165,12.44,18.08
2022-09-23 01:10:00,12.54,1.895841732,0.4443516129,12.54,9.37,48.23,11.9,18.1
2022-09-23 01:20:00,12.12,1.844930804,0.4326467742,12.12,9.29,48.305,11.37,18.11
2022-09-23 01:30:00,12.25,1.842603343,0.4324951613,12.25,9.29,48.38,11.16,18.12
2022-09-23 01:40:00,11.71,1.86259437,0.4324290323,11.71,9.29,48.44,11.62,18.2
2022-09-23 01:50:00,12.16,1.889393864,0.4327935484,12.16,9.3,48.505,12.17,18.17
2022-09-23 02:00:00,12.03,1.871362074,0.4326306452,12.03,9.29,48.57,11.84,18.21
2022-09-23 02:10:00,11.94,1.870401826,0.4258129032,11.94,9.25,48.645,12.08,18.18
2022-09-23 02:20:00,11.72,1.835973128,0.418133871,11.72,9.19,48.73,11.53,18.24
2022-09-23 02:30:00,12.05,1.839733633,0.4183758065,12.05,9.19,48.795,11.67,18.18
2022-09-23 02:40:00,12.0,1.829743015,0.4184209677,12,9.19,48.86,11.64,18.14
2022-09-23 02:50:00,11.9,1.793676243,0.4185145161,11.9,9.19,48.915,11,18.1
2022-09-23 03:00:00,11.4,1.769254431,0.4182258065,11.4,9.19,48.96,10.76,18.05
2022-09-23 03:10:00,11.78,1.783012773,0.4183516129,11.78,9.19,49.005,11.13,18.02
2022-09-23 03:20:00,12.22,1.833623059,0.4186451613,12.22,9.2,49.05,11.78,18.04
2022-09-23 03:30:00,12.51,1.873707839,0.4182870968,12.51,9.19,49.11,12.79,17.96
2022-09-23 03:40:00,12.72,1.901997134,0.4184096774,12.72,9.19,49.18,12.63,18.09
2022-09-23 03:50:00,12.55,1.876088301,0.4182387097,12.55,9.19,49.245,12.24,18.1
2022-09-23 04:00:00,12.95,1.957309609,0.4185241935,12.95,9.2,49.315,14.03,17.96
2022-09-23 04:10:00,12.38,1.863168721,0.4186403226,12.38,9.19,49.375,12.42,18.06
2022-09-23 04:20:00,12.07,1.831232417,0.4181983871,12.07,9.19,49.43,12.14,18.01
2022-09-23 04:30:00,12.84,1.893992912,0.4186370968,12.84,9.2,49.5,12.91,17.86
2022-09-23 04:40:00,12.61,1.887703565,0.4186048387,12.61,9.19,49.55,12.8,18.02
2022-09-23 04:50:00,13.37,1.996329514,0.4054564516,13.37,9.1,49.61,14.01,17.91
2022-09-23 05:00:00,12.75,1.909717031,0.4049016129,12.75,9.09,49.66,13.13,18.03
2022-09-23 05:10:00,13.19,1.989739622,0.4053193548,13.19,9.11,49.7,14.1,17.98
2022-09-23 05:20:00,14.77,2.28702152,0.4049806452,14.77,9.09,49.73,16.28,17.92
2022-09-23 05:30:00,14.65,2.263535895,0.4054435484,14.65,9.1,49.755,16.18,17.93
2022-09-23 05:40:00,14.29,2.17992803,0.4050064516,14.29,9.09,49.78,15.45,17.92
2022-09-23 05:50:00,14.67,2.242749629,0.4048290323,14.67,9.09,49.825,15.61,17.78
2022-09-23 06:00:00,14.38,2.190508,0.4052306452,14.38,9.1,49.875,15.68,17.81
2022-09-23 06:10:00,14.74,2.269206409,0.4048209677,14.74,9.09,49.93,15.76,17.85
2022-09-23 06:20:00,14.63,2.230636895,0.4054112903,14.63,9.1,49.98,15.69,17.72
2022-09-23 06:30:00,15.7,2.483387816,0.4048290323,15.7,9.1,50.025,17.18,17.65
2022-09-23 06:40:00,16.37,2.655920141,0.4051467742,16.37,9.09,50.065,18.06,17.63
2022-09-23 06:50:00,16.34,2.653846556,0.4049870968,16.34,9.09,50.09,17.6,17.67
2022-09-23 07:00:00,16.09,2.587011018,0.4052209677,16.09,9.1,50.12,17.23,17.67
2022-09-23 07:10:00,16.98,2.814823214,0.4049854839,16.98,9.09,50.155,18.56,17.5
2022-09-23 07:20:00,15.92,2.535981694,0.4048612903,15.92,9.09,50.185,16.94,17.6
2022-09-23 07:30:00,16.72,2.742741238,0.4052516129,16.72,9.1,50.2,18.29,17.51
2022-09-23 07:40:00,16.72,2.741410098,0.4047693548,16.72,9.08,50.215,18.21,17.48
2022-09-23 07:50:00,17.63,2.996876335,0.4053032258,17.63,9.1,50.23,19.18,17.42
2022-09-23 08:00:00,17.0,2.821645062,0.4049048387,17,9.09,50.265,18.22,17.46
2022-09-23 08:10:00,17.17,2.863221758,0.4050354839,17.17,9.09,50.29,18.74,17.41
2022-09-23 08:20:00,16.31,2.629140237,0.4048322581,16.31,9.09,50.315,17.41,17.46
