timestamp,wind_speed,anomaly_score,signal_active_power,signal_wind_speed,signal_rotor_speed,signal_pitch_angle,signal_ambient_temperature
2022-01-01 00:00:00,4.1,1.336882361,0.05497560976,4.1,11.1,-0.3,18
2022-01-01 00:10:00,4.1,1.359755345,0.04658536585,4.1,11.1,-0.3,18
2022-01-01 00:20:00,4.1,1.348692436,0.05053658537,4.1,11.1,-0.3,18
2022-01-01 00:30:00,4.4,1.278792002,0.06551219512,4.4,11.2,-0.5,18
2022-01-01 00:40:00,5.5,1.120923848,0.1451219512,5.5,11.4,-1.5,18
2022-01-01 00:50:00,5.4,1.071547608,0.146195122,5.4,11.4,-1.4,18
2022-01-01 01:00:00,4.9,1.129115488,0.1048780488,4.9,11.2,-1.1,18
2022-01-01 01:10:00,4.0,1.408755788,0.04043902439,4,11.1,-0.1,18
2022-01-01 01:20:00,4.4,1.255885536,0.06390243902,4.4,11.1,-0.5,18
2022-01-01 01:30:00,4.4,1.260087936,0.06243902439,4.4,11.1,-0.6,18
2022-01-01 01:40:00,4.2,1.328856417,0.05068292683,4.2,11.1,-0.3,18
2022-01-01 01:50:00,4.0,1.420312578,0.03434146341,4,11.1,-0.2,18
2022-01-01 02:00:00,4.3,1.325687007,0.04697560976,4.3,11.1,-0.5,18
2022-01-01 02:10:00,3.2,0.9101552878,-0.003268292683,3.2,5.9,15.5,18
2022-01-01 02:20:00,3.1,1.297456543,-0.006243902439,3.1,2.2,24,18
2022-01-01 02:30:00,3.2,1.280376748,-0.006341463415,3.2,2.3,24,18
2022-01-01 02:40:00,3.2,1.246605523,-0.006292682927,3.2,2.4,24,18
2022-01-01 02:50:00,3.8,1.210044115,0.02585365854,3.8,10,2.4,18
2022-01-01 03:00:00,3.4,1.715489598,0.01531707317,3.4,11.1,0.4,18
2022-01-01 03:10:00,2.7,1.050412696,-0.004634146341,2.7,4.2,18.9,18
2022-01-01 03:20:00,2.9,1.408655924,-0.004195121951,2.9,1.8,24,18
2022-01-01 03:30:00,3.4,1.266557128,-0.004390243902,3.4,2.6,23.1,18
2022-01-01 03:40:00,4.0,1.415996554,0.03790243902,4,11,-0.1,17
2022-01-01 03:50:00,4.0,1.461384123,0.03453658537,4,11.1,-0.1,17
2022-01-01 04:00:00,4.3,1.336787558,0.05590243902,4.3,11.1,-0.5,17
2022-01-01 04:10:00,4.8,1.247547034,0.08492682927,4.8,11.1,-1,17
2022-01-01 04:20:00,4.5,1.307073097,0.06243902439,4.5,11.1,-0.7,17
2022-01-01 04:30:00,3.7,1.585044498,0.02209756098,3.7,11.1,0.1,17
2022-01-01 04:40:00,3.5,1.33453545,0.004829268293,3.5,9.5,4.9,17
2022-01-01 04:50:00,3.4,1.428481321,0.004,3.4,9.6,5,17
2022-01-01 05:00:00,2.6,1.088894094,-0.004682926829,2.6,4.4,18,17
2022-01-01 05:10:00,2.7,1.380247548,-0.004292682927,2.7,1.9,24,17
2022-01-01 05:20:00,2.0,1.843629904,-0.004195121951,2,0.4,24,17
2022-01-01 05:30:00,1.3,2.000679559,-0.004048780488,1.3,0,24,17
2022-01-01 05:40:00,1.2,2.017709556,-0.004048780488,1.2,0,24,17
2022-01-01 05:50:00,1.3,2.000679559,-0.004048780488,1.3,0,24,17
2022-01-01 06:00:00,1.5,1.980120663,-0.003853658537,1.5,0,24,17
2022-01-01 06:10:00,1.4,1.988612865,-0.003804878049,1.4,0,24,17
2022-01-01 06:20:00,2.0,1.882277987,-0.003804878049,2,0.3,24,17
2022-01-01 06:30:00,2.5,1.493199636,-0.003219512195,2.5,1.5,24,17
2022-01-01 06:40:00,3.5,0.8957975874,0.01165853659,3.5,7.4,9.8,17
2022-01-01 06:50:00,3.0,0.9998343742,-0.00287804878,3,4.9,18.1,17
2022-01-01 07:00:00,2.9,1.333135537,-0.002731707317,2.9,2.1,24,17
2022-01-01 07:10:00,2.7,1.3566314,-0.00243902439,2.7,2,24,17
2022-01-01 07:20:00,3.2,1.004551041,0.005902439024,3.2,7.6,9,17
2022-01-01 07:30:00,3.6,1.632684499,0.02458536585,3.6,11.1,0.3,17
2022-01-01 07:40:00,4.0,1.436184506,0.04409756098,4,11.1,-0.1,17
2022-01-01 07:50:00,3.8,1.525039965,0.03253658537,3.8,11.1,0,17
2022-01-01 08:00:00,3.4,1.196244421,0.01541463415,3.4,8.7,7.2,17
2022-01-01 08:10:00,4.5,1.240346155,0.07902439024,4.5,11.1,-0.7,17
2022-01-01 08:20:00,4.7,1.219617469,0.08687804878,4.7,11.1,-0.9,17
2022-01-01 08:30:00,4.2,1.353859463,0.05487804878,4.2,11.1,-0.4,17
2022-01-01 08:40:00,5.0,1.215762489,0.1030243902,5,11.2,-1.1,17
2022-01-01 08:50:00,4.3,1.343931861,0.05448780488,4.3,11.1,-0.4,17
2022-01-01 09:00:00,2.9,0.992534619,-0.004097560976,2.9,5,17.1,17
2022-01-01 09:10:00,2.9,1.304873105,-0.004243902439,2.9,2.2,24,17
2022-01-01 09:20:00,4.2,1.191648957,0.03892682927,4.2,10.1,1.9,17
2022-01-01 09:30:00,3.5,1.693218478,0.01643902439,3.5,11.1,0.4,17
2022-01-01 09:40:00,3.6,1.244717057,0.01751219512,3.6,9.2,6.2,17
2022-01-01 09:50:00,3.1,1.187059701,0.001853658537,3.1,6.9,13.6,17
2022-01-01 10:00:00,2.3,1.551466976,-0.004243902439,2.3,1.3,24,17
2022-01-01 10:10:00,2.3,1.799495009,-0.00443902439,2.3,0.6,24,17
2022-01-01 10:20:00,2.2,1.710873313,-0.004146341463,2.2,0.8,24,17
2022-01-01 10:30:00,3.0,1.003606356,-0.00512195122,3,6.1,14.3,17
2022-01-01 10:40:00,4.0,0.9749910404,0.03473170732,4,8.8,5.5,17
2022-01-01 10:50:00,4.6,1.203965519,0.0816097561,4.6,11.2,-0.7,18
2022-01-01 11:00:00,5.2,1.162999444,0.1155609756,5.2,11.4,-1.2,18
2022-01-01 11:10:00,4.3,1.263693247,0.06453658537,4.3,11.1,-0.5,18
2022-01-01 11:20:00,4.9,1.168947747,0.096,4.9,11.2,-1,18
2022-01-01 11:30:00,5.2,1.092455365,0.1314634146,5.2,11.5,-1.1,18
2022-01-01 11:40:00,6.0,1.052136945,0.1953658537,6,12.1,-1.7,18
2022-01-01 11:50:00,6.0,1.022808279,0.1932195122,6,12.1,-1.7,19
2022-01-01 12:00:00,5.9,1.063341792,0.1768780488,5.9,11.9,-1.6,19
2022-01-01 12:10:00,6.4,0.9366284019,0.2536585366,6.4,12.5,-1.9,18
2022-01-01 12:20:00,7.2,0.9118037799,0.3517073171,7.2,13.4,-2.1,18
2022-01-01 12:30:00,7.6,0.9485530766,0.3973658537,7.6,13.8,-2.2,18
2022-01-01 12:40:00,6.9,0.9307326664,0.3074146341,6.9,13.1,-2,18
2022-01-01 12:50:00,6.8,0.906164798,0.3052195122,6.8,13,-2,18
2022-01-01 13:00:00,6.9,0.9659096062,0.2965365854,6.9,13.1,-2,18
2022-01-01 13:10:00,6.5,0.9817914839,0.2515121951,6.5,12.6,-1.9,18
2022-01-01 13:20:00,7.3,0.910840106,0.3543414634,7.3,13.4,-2.1,18
2022-01-01 13:30:00,7.9,1.009722094,0.4564878049,7.9,14.1,-2.2,18
2022-01-01 13:40:00,7.2,0.9198346301,0.338097561,7.2,13.3,-2.1,18
2022-01-01 13:50:00,7.8,0.9775109508,0.4246829268,7.8,14,-2.2,18
2022-01-01 14:00:00,6.6,1.057405231,0.2444390244,6.6,12.7,-2,18
2022-01-01 14:10:00,7.1,0.97231248,0.3157073171,7.1,13.3,-2.1,18
2022-01-01 14:20:00,6.9,0.9564265154,0.2993170732,6.9,13.1,-2,18
2022-01-01 14:30:00,6.5,1.005881377,0.2461463415,6.5,12.6,-1.9,18
2022-01-01 14:40:00,6.5,0.9115397555,0.2686829268,6.5,12.6,-1.9,18
2022-01-01 14:50:00,6.6,1.027774079,0.2483902439,6.6,12.6,-1.9,18
2022-01-01 15:00:00,6.4,1.001713935,0.2282439024,6.4,12.5,-1.8,19
2022-01-01 15:10:00,6.8,1.014285948,0.2741463415,6.8,13,-2,18
2022-01-01 15:20:00,6.8,0.9876517531,0.2656585366,6.8,12.9,-2,19
2022-01-01 15:30:00,6.1,1.12159964,0.1816097561,6.1,12.1,-1.7,19
2022-01-01 15:40:00,5.7,1.027270086,0.1713658537,5.7,11.9,-1.5,19
2022-01-01 15:50:00,7.1,0.9234977605,0.3090243902,7.1,13.2,-2.1,19
2022-01-01 16:00:00,6.0,1.073725264,0.1911219512,6,12.1,-1.7,18
2022-01-01 16:10:00,6.8,0.9300766996,0.2914634146,6.8,12.9,-1.9,18
2022-01-01 16:20:00,6.9,0.9441211512,0.297902439,6.9,13,-2,18
2022-01-01 16:30:00,7.3,0.9110636376,0.3542926829,7.3,13.4,-2,18
2022-01-01 16:40:00,6.9,0.949491431,0.3014146341,6.9,13.1,-2,18
2022-01-01 16:50:00,6.7,0.8835811596,0.2950731707,6.7,12.8,-1.8,18
2022-01-01 17:00:00,7.0,0.8700597002,0.333804878,7,13.1,-2,18
2022-01-01 17:10:00,6.8,0.905197985,0.2992195122,6.8,12.9,-2,18
2022-01-01 17:20:00,7.4,0.8907931946,0.3852195122,7.4,13.5,-2,18
2022-01-01 17:30:00,7.2,0.9040340424,0.3371219512,7.2,13.2,-2,18
2022-01-01 17:40:00,6.1,1.021502132,0.2091219512,6.1,12.2,-1.7,18
2022-01-01 17:50:00,6.1,1.076922669,0.1972682927,6.1,12.1,-1.7,18
2022-01-01 18:00:00,6.2,0.9602488178,0.2282439024,6.2,12.2,-1.7,18
2022-01-01 18:10:00,6.4,0.9615040652,0.245902439,6.4,12.4,-1.9,18
2022-01-01 18:20:00,6.3,1.000942137,0.2285365854,6.3,12.3,-1.8,18
2022-01-01 18:30:00,6.7,0.9365849548,0.2772195122,6.7,12.7,-1.9,18
2022-01-01 18:40:00,6.8,1.010704479,0.2750243902,6.8,13,-2,18
2022-01-01 18:50:00,6.2,1.077136235,0.2215609756,6.2,12.3,-1.7,17
2022-01-01 19:00:00,6.8,1.066692836,0.2824390244,6.8,13,-2,17
2022-01-01 19:10:00,6.5,1.128634508,0.2369756098,6.5,12.6,-1.9,17
2022-01-01 19:20:00,5.9,1.085681613,0.1950243902,5.9,11.9,-1.7,17
2022-01-01 19:30:00,5.7,1.088450478,0.1787317073,5.7,11.7,-1.6,17
2022-01-01 19:40:00,5.8,1.108487544,0.1819512195,5.8,11.8,-1.6,17
2022-01-01 19:50:00,6.1,1.091867054,0.2090731707,6.1,12.1,-1.7,17
2022-01-01 20:00:00,6.3,1.067008932,0.2328780488,6.3,12.4,-1.8,17
2022-01-01 20:10:00,6.6,1.066438934,0.259804878,6.6,12.7,-1.9,17
2022-01-01 20:20:00,5.9,1.07393076,0.1985365854,5.9,12,-1.7,17
